TSR_EVENT_SMAS_HISTORY_ID,TSR_EVENT_SMAS_SAMPLE_DATE,TSR_SED_TEST_DATE,TSR_POREWATER_TEST_DATE,TSR_SEDIMENT_RSLT,TSR_SEDIMENT_RSLT_QLFR,TSR_POREWATER_RSLT,TSR_POREWATER_RSLT_QLFR,TSR_SEDIMENT_ASMT,TSR_POREWATER_ASMT
05-STEO_T22-0.2,8/6/2013,1/7/2013,1/8/2014,82.33,,100,,Non-toxic,Non-toxic
05-TUSC_N-8.4,8/6/2013,1/7/2013,1/8/2014,69.78,,100,,Slight,Non-toxic
05-COHO-5.9,9/2/2008,1/13/2008,1/16/2009,49.93,,100,,Non-toxic,Non-toxic
05-COHO-37.2,6/7/2013,1/7/2013,1/8/2014,86.68,,100,,Non-toxic,Non-toxic
05-STEO-9.7,8/6/2013,1/7/2013,1/8/2014,83.59,,100,,Non-toxic,Non-toxic
05-STEO-9.7,9/3/2008,1/13/2008,1/16/2009,46.09,,100,,Non-toxic,Non-toxic
05-STEO-33.9,9/2/2008,1/13/2008,1/16/2009,62.16,,100,,Non-toxic,Non-toxic
05-COWS-0.6,9/3/2008,1/13/2008,1/16/2009,49.08,,100,,Non-toxic,Non-toxic
05-TUSC-0.5,8/6/2013,1/7/2013,1/8/2014,78.49,,,,Slight,Insufficient Data
05-CDEA-1.8,9/2/2008,1/13/2008,1/16/2009,47.25,,100,,Non-toxic,Non-toxic
05-BGCK-0.6,9/2/2008,1/13/2008,1/16/2009,26.18,,,,Slight,Insufficient Data
05-PURD-0.2,9/2/2008,1/13/2008,1/16/2009,48.17,,100,,Non-toxic,Non-toxic
06-USSQ-149.8,10/5/2004,12/7/2004,12/8/2004,28.98,,100,,Slight,Non-toxic
06-USSQ-154.7,7/14/2009,9/23/2009,9/24/2009,48.25,,100,,Non-toxic,Non-toxic
06-DILA-5.4,9/24/2014,10/15/2014,10/15/2014,63.47,,100,,Slight,Non-toxic
06-DILA-5.4,10/5/2004,12/7/2004,12/8/2004,64.97,,100,,Non-toxic,Non-toxic
06-DILA-54.7,7/14/2009,9/23/2009,9/24/2009,45.5,,,,Non-toxic,Insufficient Data
06-BVIL-2.2,7/16/2009,9/23/2009,9/24/2009,50.45,,100,,Non-toxic,Non-toxic
06-NVUS-0.9,10/5/2004,12/7/2004,12/8/2004,20.7,,100,,Slight,Non-toxic
06-NVUS-0.9,7/16/2009,9/23/2009,9/24/2009,29.61,,98.15,,Slight,Toxic
06-NVUS-0.9,7/30/2014,9/3/2014,9/3/2014,74.3,,100,,Slight,Non-toxic
06-CHAR-9.5,7/16/2009,9/23/2009,9/24/2009,53.24,,100,,Non-toxic,Non-toxic
06-OAKS-0.7,7/14/2009,9/23/2009,9/24/2009,35.35,,100,,Slight,Non-toxic
06-BTNT-1.3,10/5/2004,12/7/2004,12/8/2004,,,,,Moderate,Non-toxic
06-PROP-0.1,7/15/2009,9/23/2009,9/24/2009,45.96,,100,,Non-toxic,Non-toxic
06-NANG-0.7,7/15/2009,9/23/2009,9/24/2009,30.88,,100,,Slight,Non-toxic
06-NANG_W-0.3,10/6/2004,12/7/2004,12/8/2004,18.38,,100,,Moderate,Non-toxic
06-NANG_W-0.3,7/14/2009,9/23/2009,9/24/2009,26.84,,100,,Slight,Non-toxic
06-TOGH-29.8,10/6/2004,12/7/2004,12/8/2004,24.99,,100,,Slight,Non-toxic
06-PAGE-0.6,7/29/2014,9/3/2014,9/3/2014,62.55,,100,,Slight,Non-toxic
